id,name,title,artist_name,art_type,park,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
166969213,PA00045000,Drinking Fountain,Frank Vittor,Historic Art,Highland Park,,Highland Park,7,11,42003980100,2,11,5,3-9,40.47871283,-79.9161941
164859586,PA00046000,Drinking Fountain,Frank Vittor,Historic Art,Mellon Park,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.45150791,-79.91840692
2029617217,PA00047000,Drinking Fountain,Frank Vittor,Historic Art,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43840824,-79.94640681
1175269324,PA00049000,The Heavens,Sidney Waugh,Historic Art,,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45260654,-80.00640438
1971852534,PA00050000,The Earth,Sidney Waugh,Historic Art,,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45260654,-80.00610684
1492179153,PA00051000,Night,Sidney Waugh,Historic Art,,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.4529079,-80.00660275
1663151283,PA00052000,Day,Sidney Waugh,Historic Art,,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45300709,-80.00610684
816584695,PA00053000,Primitive Science,Sidney Waugh,Historic Art,Buhl Community Park at Allegheny Square,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45249753,-80.00628861
475599800,PA00054000,Modern Science,Sidney Waugh,Historic Art,,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45260654,-80.00620602
1395398096,PA00060000,Christopher Columbus,Frank Vittor,Individual and Historic Monuments,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.44020878,-79.94840571
1481431937,PA00061000,Cubed Tension,Sylvester Damianos,Modern and Contemporary Art,Buhl Community Park at Allegheny Square,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45250736,-80.00570248
69773885,PA00062000,Pipe Dream IV,Josefa Filkosky,Modern and Contemporary Art,Liberty Avenue Island,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44130741,-80.00530575
1812675001,PA00064000,Five Factors,Peter Calaboyias,Modern and Contemporary Art,Mellon Park,,Shadyside,8,7,42003070800,2,7,4,3-13,40.45453445,-79.91498025
514022519,PA00067000,Untitled,Edward Bordas,Modern and Contemporary Art,Schenley Park,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43480397,-79.9469793
767455688,PA00068000,Untitled (January Sprinter),Thomas Morandi,Modern and Contemporary Art,Mellon Park,,Shadyside,8,7,42003070800,2,7,4,3-13,40.45440708,-79.91390558
1175808,PA00069000,Elongated Disc,Jamce Myford,Modern and Contemporary Art,,,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45350681,-80.00610684
1520084638,PA00070000,Steelcityscape,Aaronel deRoy Gruber,Modern and Contemporary Art,Mellon Park,,Shadyside,8,7,42003070800,2,7,4,3-13,40.45480763,-79.91390558
50811008,PA00071000,Five Factors II,Peter Calaboyias,Modern and Contemporary Art,Allegheny Commons,,Allegheny West,1,22,42003562700,1,22,1,1-7,40.45100818,-80.01320218
27180654,PA00073000,Pittsburgh,John Henry,Modern and Contemporary Art,Frank Curto Park,,Strip District,7,2,42003020300,6,2,2,2-5,40.45180927,-79.97580287
1947343516,PA00075000,Phoenix,Thaddeus Mosley,Modern and Contemporary Art,,,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.4432592,-79.98059809
1139151245,PA00076000,The Flow,Louise Pershing,Modern and Contemporary Art,,,Central Business District,6,2,42003020100,6,2,2,1-3,40.44070978,-79.99489087
710525190,PA00077000,Untitled,Jerry Caplan,Modern and Contemporary Art,,,East Allegheny,1,23,42003563200,1,23,1,1-5,40.45790897,-79.99520443
